group,level,variant,n,safe_weighted_coverage_mean,safe_weighted_coverage_sd,latency_p50,latency_p95,latency_p99,battery_violation_rate,clearance_violation_rate,reserve_shortfall_rate,return_failure_rate,emergency_abort_rate
final,final,final,126,0.8756672141526965,0.08592523206907386,1.7549758427077906,1.7629465165373404,1.7678121531091164,0.0,0.0,0.0,0.0,0.0
energy_quantile,q80,energy_quantile=q80,126,0.8804017305545423,0.08031470347767185,1.754985318990657,1.759799758880399,1.7706636735238135,0.0,0.0,0.0,0.0,0.0
energy_quantile,q95,energy_quantile=q95,126,0.8793580866157124,0.07952914716359119,1.7550586162484252,1.762890619749669,1.7717088962177514,0.0,0.0,0.0,0.0,0.0
reserve_floor,60.0,reserve_floor=60,126,0.8883527189888717,0.07940913719378002,1.7549440608592703,1.761554363401956,1.7700350156839704,0.0,0.0,0.0,0.0,0.0
reserve_floor,100.0,reserve_floor=100,126,0.8637859576279532,0.08297306172279083,1.7544683443615212,1.7613737042673165,1.764808709427598,0.0,0.0,0.0,0.0,0.0
reserve_buffer,8.0,reserve_buffer=8,126,0.8789628053027535,0.0843289519368626,1.7549381694523616,1.761953849857673,1.7648975734453416,0.0,0.0,0.0,0.0,0.0
reserve_buffer,24.0,reserve_buffer=24,126,0.8739848714429511,0.08372435680074387,1.7549021585145965,1.7606976380047854,1.7665655833086928,0.0,0.0,0.0,0.0,0.0
clearance_threshold,0.03,clearance_threshold=0.03,126,0.8760477814191865,0.0847122931056745,1.7544291873695328,1.7647640881768893,1.7928337061719501,0.0,0.0,0.0,0.0,0.0
clearance_threshold,0.08,clearance_threshold=0.08,126,0.8757117782543149,0.08598649574775226,1.7547648160019889,1.7601741513761224,1.7636798665800597,0.0,0.0,0.0,0.0,0.0
risk_dispersion_scale,0.75,risk_dispersion_scale=0.75,126,0.876084926257218,0.08282781793234388,1.7516104871290736,1.757776114885928,1.7606768579687924,0.0,0.0,0.0,0.0,0.0
risk_dispersion_scale,1.25,risk_dispersion_scale=1.25,126,0.8771564658049489,0.0814981776106216,1.7555856704711914,1.7628643234987975,1.7725725994940147,0.0,0.0,0.0,0.0,0.0
beam_search_budget,0.5,beam_search_budget=0.5x,126,0.8517668672200197,0.07304981889497514,1.4989351732132488,1.7557118344819174,1.767044226429425,0.0,0.0,0.0,0.0,0.0
beam_search_budget,1.5,beam_search_budget=1.5x,126,0.8748167015863609,0.08322520269977543,1.7526162055437453,1.7587232509424213,1.7626473010051997,0.0,0.0,0.0,0.0,0.0
horizon_length,8,horizon_length=8,126,0.8769483988667699,0.08367002646785457,1.754530995694222,1.7594847454573026,1.791463857711642,0.0,0.0,0.0,0.0,0.0
horizon_length,10,horizon_length=10,126,0.8759357906552605,0.08525856286765718,1.7548609157151076,1.760874159564264,1.781994712795131,0.0,0.0,0.0,0.0,0.0
horizon_length,12,horizon_length=12,126,0.8765138633349376,0.084080816786524,1.7549567690060939,1.7623460970178713,1.782796625662013,0.0,0.0,0.0,0.0,0.0
rr_cmp_weights,0.75,rr_cmp_weights=0.75x,126,0.8743365336675825,0.08696460653151084,1.7550140451290646,1.762283420204767,1.7709805510938168,0.0,0.0,0.0,0.0,0.0
rr_cmp_weights,1.25,rr_cmp_weights=1.25x,126,0.8758681814900328,0.0847436175771956,1.7548325839685277,1.7609764056513084,1.8246000020677458,0.0,0.0,0.0,0.0,0.0
gust_samples,16,gust_samples=16,126,0.8771734149156308,0.08249257075301449,1.7545931166911033,1.763356015316094,1.7799178842717083,0.0,0.0,0.0,0.0,0.0
gust_samples,64,gust_samples=64,126,0.8792547887532982,0.08208951574230135,1.7544716711505317,1.7604671835841146,1.7643388001422864,0.0,0.0,0.0,0.0,0.0
replan_cap,1.0,replan_cap=1s,126,0.8709142855227381,0.08803296938955932,1.0049220611108467,1.036968404322397,1.0483032704971265,0.0,0.0,0.0,0.0,0.0
replan_cap,2.5,replan_cap=2.5s,126,0.8768748775445233,0.08393061347529875,2.505023349123076,2.5100636184972247,2.5187113747233525,0.0,0.0,0.0,0.0,0.0
