ablation,n_pairs,mean_diff,median_diff,ci95_low,ci95_high,p_raw,direction_id,direction_correlated_gust,direction_narrow_passage,direction_cluttered,budget_check_metric,budget_ratio,budget_check_pass,battery_violation_delta_rate,clearance_violation_delta_rate,reserve_shortfall_delta_rate,return_failure_delta_rate,emergency_abort_delta_rate,p_holm,passes,budget_component_ratios,budget_component_passes
RAWA-NoPacking,360,0.16395030322518178,0.16666666666666663,0.15875186585913534,0.16903260628979822,4.999750012499375e-05,0.16911744966707332,0.16365366286601843,0.15907979714245352,0.16326215907284072,not_applicable,1.0,True,0.0,0.0,0.0,0.0,0.0,0.0007499625018749063,True,,
RAWA-NoPacking-EqTime,360,0.16395030322518178,0.16666666666666663,0.15888690311987555,0.16904919560811182,4.999750012499375e-05,0.16911744966707332,0.16365366286601843,0.15907979714245352,0.16326215907284072,replan_latency_p95,1.0141092689088003,True,0.0,0.0,0.0,0.0,0.0,0.0007499625018749063,True,,
RAWA-NoPacking-EqEval,360,0.14462874928553107,0.14400000000000002,0.13911018820265525,0.14992885751642412,4.999750012499375e-05,0.15096487706231862,0.14240145772668325,0.14051991306759132,0.14429677537552885,unified_or_components,0.9995478955681099,True,0.0,0.0,0.0,0.0,0.0,0.0007499625018749063,True,"{'unified_eval_count': 0.9995478955681099, 'candidate_expansions': 1.5145489256988456, 'risk_evals': 1.5145489256988456, 'packing_attempts': 0.0}","{'unified_eval_count': True, 'candidate_expansions': False, 'risk_evals': False, 'packing_attempts': False}"
RAWA-NoBeam,360,0.018054176274486865,0.007936507936507797,0.014180990375836092,0.022173168719099426,4.999750012499375e-05,0.016313266360444573,0.020961076872578803,0.01688818559043722,0.01892131230959883,not_applicable,1.0,True,0.0,-0.002777777777777778,0.0,0.0,0.0,0.0007499625018749063,True,,
RAWA-NoBeam-EqTime,360,0.018054176274486865,0.007936507936507797,0.014150662040861444,0.02218241398733697,4.999750012499375e-05,0.016313266360444573,0.020961076872578803,0.01688818559043722,0.01892131230959883,replan_latency_p95,1.0142115839276231,True,0.0,-0.002777777777777778,0.0,0.0,0.0,0.0007499625018749063,True,,
RAWA-NoBeam-EqEval,360,0.01713861188737997,0.007662947739283665,0.013515849099152525,0.020798931070419673,4.999750012499375e-05,0.01589254818839083,0.0183132232744055,0.017210064199343584,0.018217153749361042,unified_or_components,0.9706862734213426,True,0.0,-0.002777777777777778,0.0,0.0,0.0,0.0007499625018749063,True,"{'unified_eval_count': 0.9706862734213426, 'candidate_expansions': 0.6406685956095451, 'risk_evals': 0.6406685956095451, 'packing_attempts': 1.6112063035916075}","{'unified_eval_count': True, 'candidate_expansions': False, 'risk_evals': False, 'packing_attempts': False}"
RAWA-NoRisk,360,0.03347387469885417,0.032922368242785494,0.031138211630630786,0.03567462636434418,4.999750012499375e-05,0.034124661915289546,0.034247590151454364,0.0320493720298186,0.033787248670679386,not_applicable,1.0,True,0.0,-0.002777777777777778,0.0,0.0,0.0,0.0007499625018749063,True,,
RAWA-NoRisk-EqTime,360,0.033588940612225164,0.03305785123966931,0.0312861159517517,0.03570458696965628,4.999750012499375e-05,0.034124661915289546,0.034592787891567355,0.0320493720298186,0.0339284916085325,replan_latency_p95,1.0168286531249198,True,0.0,-0.002777777777777778,0.0,0.0,0.0,0.0007499625018749063,True,,
RAWA-NoRisk-EqEval,360,0.03313788851342811,0.032653605224576776,0.030723598274572606,0.03539808318879689,4.999750012499375e-05,0.03365884980415484,0.0354332806854587,0.030321535050670798,0.034257319913955676,unified_or_components,0.9538176347400202,True,0.0,-0.002777777777777778,0.0,0.0,0.0,0.0007499625018749063,True,"{'unified_eval_count': 0.9538176347400202, 'candidate_expansions': 0.8364657161128325, 'risk_evals': 0.8364657161128325, 'packing_attempts': 1.18158196226944}","{'unified_eval_count': True, 'candidate_expansions': False, 'risk_evals': False, 'packing_attempts': False}"
RAWA-BlindReserve,360,0.041053417992450256,0.03875968992248058,0.03900016712442922,0.04307765446570136,4.999750012499375e-05,0.04114467975845669,0.04029431814341774,0.04172125607547634,0.04397227942740811,not_applicable,1.0,True,0.0,0.0,0.0,0.0,0.0,0.0007499625018749063,True,,
RAWA-BlindReserve-EqTime,360,0.041053417992450256,0.03875968992248058,0.03898160924114929,0.04310759409814127,4.999750012499375e-05,0.04114467975845669,0.04029431814341774,0.04172125607547634,0.04397227942740811,replan_latency_p95,1.0151651062416116,True,0.0,0.0,0.0,0.0,0.0,0.0007499625018749063,True,,
RAWA-BlindReserve-EqEval,360,0.04182791810449498,0.03861061419200951,0.03917179042851735,0.044336743095823944,4.999750012499375e-05,0.042340469387120695,0.04115482356425136,0.0419884613621129,0.04452481603210561,unified_or_components,0.9754410307113847,True,0.0,-0.002777777777777778,0.0,0.0,0.0,0.0007499625018749063,True,"{'unified_eval_count': 0.9754410307113847, 'candidate_expansions': 0.5043108977352958, 'risk_evals': 0.5043108977352958, 'packing_attempts': 1.8898414015910863}","{'unified_eval_count': True, 'candidate_expansions': False, 'risk_evals': False, 'packing_attempts': False}"
RAWA-NoAdaptiveSearch,360,0.04617374251384451,0.038759689922480633,0.0416490475226025,0.051017859763530536,4.999750012499375e-05,0.04704037405301982,0.0468523176798603,0.04462853580865341,0.042474055651925045,not_applicable,1.0,True,0.0,0.0,0.0,0.0,0.0,0.0007499625018749063,True,,
RAWA-NoAdaptiveSearch-EqTime,360,0.04617374251384451,0.038759689922480633,0.04154850476678509,0.05101805045867542,4.999750012499375e-05,0.04704037405301982,0.0468523176798603,0.04462853580865341,0.042474055651925045,replan_latency_p95,1.014107342039906,True,0.0,0.0,0.0,0.0,0.0,0.0007499625018749063,True,,
RAWA-NoAdaptiveSearch-EqEval,360,0.028183843869740748,0.022472225339468077,0.02429287143525107,0.031702417121560036,4.999750012499375e-05,0.027437075157259398,0.030317366266501066,0.02679709018546177,0.021781309790587913,unified_or_components,0.9817715572923733,True,0.0,-0.002777777777777778,0.0,0.0,0.0,0.0007499625018749063,True,"{'unified_eval_count': 0.9817715572923733, 'candidate_expansions': 0.863453254450635, 'risk_evals': 0.863453254450635, 'packing_attempts': 1.2114115069107796}","{'unified_eval_count': True, 'candidate_expansions': False, 'risk_evals': False, 'packing_attempts': False}"
